source,target,value
analytics.cluster,animate,2
analytics.cluster,vis.data,8
analytics.cluster,util.math,2
analytics.cluster,analytics.cluster,5
analytics.cluster,util,3
analytics.cluster,vis.operator,1
analytics.graph,animate,5
analytics.graph,vis.data,14
analytics.graph,util,5
analytics.graph,vis.operator,6
analytics.graph,analytics.graph,1
analytics.graph,util.heap,2
analytics.graph,vis,1
analytics.optimization,animate,1
analytics.optimization,util,2
analytics.optimization,vis.data,1
analytics.optimization,scale,1
analytics.optimization,vis.axis,1
analytics.optimization,vis,1
analytics.optimization,vis.operator,1


animate,animate,30
animate,util,9
animate.interpolate,util,2
animate.interpolate,animate.interpolate,16
animate,animate.interpolate,1
data.converters,data.converters,7
data.converters,data,17
data.converters,util,1
data,data,7
data,util,1
data,data.converters,2
display,display,3
display,util,1
flex,display,1
flex,data,1
flex,vis,1
flex,vis.axis,2
flex,vis.data,1
physics,physics,22
query,query,61
query,util,6
query.methods,query.methods,39
query.methods,query,32
scale,scale,19
scale,util,14
util,util,23
util.heap,util.heap,2
util.math,util.math,2
util.palette,util.palette,3
util.palette,util,2
vis.axis,animate,3
vis.axis,vis,2
vis.axis,scale,4
vis.axis,util,3
vis.axis,display,5
vis.axis,vis.axis,7
vis.controls,vis.controls,12
vis.controls,vis,3
vis.controls,vis.operator.layout,1
vis.controls,vis.events,4
vis.controls,util,3
vis.controls,vis.data,2
vis.controls,animate,2
vis.controls,display,1
vis.data,vis.data,26
vis.data,util,17
vis.data,vis.events,4
vis.data,data,3
vis.data,animate,2
vis.data,util.math,2
vis.data,display,1
vis.data,vis.data.render,4
vis.data.render,vis.data,5
vis.data.render,vis.data.render,3
vis.data.render,util,3
vis.data,scale,9
vis.data,util.heap,2
vis.events,vis.data,6
vis.events,vis.events,1
vis.events,animate,1
vis.legend,animate,1
vis.legend,vis.data,1
vis.legend,util.palette,5
vis.legend,scale,4
vis.legend,vis.legend,4
vis.legend,display,6
vis.legend,util,6
vis.operator.distortion,vis.operator.distortion,2
vis.operator.distortion,animate,1
vis.operator.distortion,vis.data,2
vis.operator.distortion,vis.events,1
vis.operator.distortion,vis.axis,2
vis.operator.distortion,vis.operator.layout,1
vis.operator.encoder,animate,3
vis.operator.encoder,scale,3
vis.operator.encoder,vis.operator.encoder,4
vis.operator.encoder,util.palette,7
vis.operator.encoder,vis.data,8
vis.operator.encoder,vis.operator,2
vis.operator.encoder,util,3
vis.operator.filter,animate,3
vis.operator.filter,vis.data,10
vis.operator.filter,vis.operator,3
vis.operator.filter,util,1
vis.operator,animate,7
vis.operator,vis,3
vis.operator,vis.operator,11
vis.operator.label,animate,1
vis.operator.label,vis.data,6
vis.operator.label,display,3
vis.operator.label,vis.operator,1
vis.operator.label,util,5
vis.operator.label,vis.operator.label,2
vis.operator.layout,scale,6
vis.operator.layout,vis.data,34
vis.operator.layout,vis.axis,4
vis.operator.layout,util,20
vis.operator.layout,vis.operator.layout,14
vis.operator.layout,animate,6
vis.operator.layout,vis.operator,2
vis.operator.layout,vis.data.render,1
vis.operator.layout,physics,3
vis.operator.layout,vis,1
vis.operator,util,5
vis.operator,vis.data,1
vis,animate,3
vis,vis.operator,2
vis,vis.events,2
vis,vis.data,2
vis,vis.axis,2
vis,util,1
vis,vis.controls,1
